District,Mandal,Village,Survey No
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,2/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,2/A/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,2/B
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,2/B/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,2/B/A
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/A
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/A/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/A/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/A/5
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/A/6
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/A/7
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,3/B
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,4/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,4/2/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,4/2/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,4/3/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,4/3/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,4/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/3
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/4
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/5
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/6
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/7
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,5/అ/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,6
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,6/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/A
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/B/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/B/1/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/B/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/B/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/C
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/D/1/1
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/D/1/2
Adilabad|ఆదిలాబాద్,Adilabad (Rural)|ఆదిలాబాద్ (రూరల్),Ankapoor|అంకాపూర్,7/D/1/3
